,DraftYr,Rk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%
1574,2017,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,0.435,0.33,0.797
1575,2017,7,MIN,Lauri Markkanen,Arizona,5,259,7659,3955,1761,329,0.439,0.363,0.847
1576,2017,8,NYK,Frank Ntilikina,,5,258,4708,1356,479,616,0.368,0.33,0.774
1577,2017,9,DAL,Dennis Smith Jr.,NC State,5,216,5152,2317,636,917,0.402,0.312,0.652
1578,2017,10,SAC,Zach Collins,Gonzaga,4,159,2773,910,640,150,0.444,0.327,0.717
1579,2017,11,CHA,Malik Monk,Kentucky,5,285,5567,2802,633,536,0.418,0.353,0.829
1580,2017,12,DET,Luke Kennard,Duke,5,277,6442,2724,792,570,0.449,0.422,0.864
1581,2017,13,DEN,Donovan Mitchell,Louisville,5,324,10906,7685,1345,1423,0.441,0.36,0.835
1582,2017,14,MIA,Bam Adebayo,Kentucky,5,321,8975,4182,2634,1118,0.553,0.146,0.74
1583,2017,15,POR,Justin Jackson,UNC,5,255,4779,1656,637,276,0.426,0.321,0.799
1584,2017,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,0.404,0.25,0.667
1585,2017,17,MIL,D.J. Wilson,Michigan,5,145,1797,641,450,107,0.417,0.327,0.618
1586,2017,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,0.492,0.341,0.585
1587,2017,19,ATL,John Collins,Wake Forest,5,289,8389,4800,2416,451,0.562,0.382,0.78
1588,2017,20,POR,Harry Giles,Duke,3,142,1835,832,543,174,0.511,0.258,0.671
1589,2017,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,0.404,0.334,0.753
1590,2017,22,BRK,Jarrett Allen,Texas,5,335,8883,3851,2913,466,0.623,0.189,0.698
1591,2017,23,TOR,OG Anunoby,Indiana,5,295,7873,3056,1213,414,0.469,0.369,0.706
1592,2017,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333
1593,2017,25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,0.521,0,0.586
1594,2017,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,0.438,0.118,0.614
1595,2017,27,BRK,Kyle Kuzma,Utah,5,331,10020,5103,2038,696,0.448,0.338,0.722
1596,2017,28,LAL,Tony Bradley,UNC,5,157,1912,748,699,84,0.635,0.429,0.675
1597,2017,29,SAS,Derrick White,Colorado,5,241,6215,2790,793,929,0.444,0.341,0.834
1598,2017,30,UTA,Josh Hart,Villanova,5,286,7763,2731,1646,571,0.448,0.348,0.736
1599,2017,31,CHA,Frank Jackson,Duke,4,203,3672,1724,372,207,0.426,0.338,0.774
1600,2017,32,PHO,Davon Reed,Miami (FL),3,60,688,192,118,45,0.393,0.379,0.706
1601,2017,33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,0.408,0.292,0.798
1602,2017,34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,0.396,0.301,0.755
1603,2017,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,0.555,0.2,0.743
1604,2017,36,PHI,Jonah Bolden,,2,51,686,217,174,40,0.486,0.34,0.484
1605,2017,37,BOS,Semi Ojeleye,SMU,5,276,4026,941,599,122,0.382,0.343,0.706
1606,2017,38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,0.552,0.2,0.636
